iter	Logloss
0	0.4161793009
1	0.2965879822
2	0.2416344198
3	0.2027785238
4	0.1713742574
5	0.1514597066
6	0.1423660787
7	0.1352280553
8	0.1294426982
9	0.1243896484
10	0.118546435
11	0.1155294927
12	0.1111765035
13	0.108666687
14	0.105627346
15	0.1027110291
16	0.09993339539
17	0.09877221425
18	0.09625796636
19	0.09299173355
20	0.09075866699
21	0.0880259196
22	0.08631085078
23	0.08482836405
24	0.08269093831
25	0.0802252388
26	0.07826934814
27	0.07682126363
28	0.07596569697
29	0.07417179108
30	0.07348733266
31	0.07222026825
32	0.07093509038
33	0.07030687968
34	0.06990955989
35	0.06915021896
36	0.06767777761
37	0.06713615417
38	0.06643855413
39	0.06523718516
40	0.06430297216
41	0.06397169113
42	0.06268901825
43	0.06204722722
44	0.06167146047
45	0.06099798203
46	0.06050106684
47	0.05912091573
48	0.05812615712
49	0.05763196945
50	0.05712329229
51	0.05665612539
52	0.05513235728
53	0.05479469299
54	0.05432120005
55	0.05318579992
56	0.05280260722
57	0.05232027054
58	0.05172654152
59	0.05140331904
60	0.05075565338
61	0.05056460381
62	0.05027573903
63	0.04959757805
64	0.04873888334
65	0.04838748296
66	0.04796777725
67	0.047004083
68	0.04613415082
69	0.04544284821
70	0.04493672053
71	0.04454198519
72	0.04405129751
73	0.04389185588
74	0.0435869662
75	0.04273604393
76	0.0422502168
77	0.0416106987
78	0.04084756215
79	0.04041311264
80	0.03970994314
81	0.03927444458
82	0.03881631851
83	0.03831055959
84	0.0381595993
85	0.03763933182
86	0.03707322756
87	0.0367203331
88	0.03625033379
89	0.03572648366
90	0.03522197088
91	0.03454299927
92	0.03410949071
93	0.03363034248
94	0.03311577479
95	0.03278348605
96	0.03238447189
97	0.03216321309
98	0.03177468936
99	0.03153618813
100	0.03124250412
101	0.0309157753
102	0.03061410904
103	0.03022452672
104	0.02996333758
105	0.02988301595
106	0.02958231608
107	0.02936599414
108	0.02914318085
109	0.02898619334
110	0.02880961418
111	0.02836515109
112	0.02818908056
113	0.02788520177
114	0.02768023173
115	0.0273153909
116	0.0269932429
117	0.02683640162
118	0.02680523554
119	0.02653293928
120	0.02641927719
121	0.02631702105
122	0.02616995494
123	0.02608049711
124	0.02567271868
125	0.02545195738
126	0.02518253485
127	0.02506103198
128	0.02496556123
129	0.02472848892
130	0.02453256925
131	0.02422073523
132	0.02400867144
133	0.02393020312
134	0.02369550546
135	0.02346370856
136	0.02320475737
137	0.02312342644
138	0.02286841393
139	0.02272418022
140	0.02252371788
141	0.02231808345
142	0.02208627542
143	0.02193154335
144	0.02162432353
145	0.02142243067
146	0.02133093675
147	0.02120438894
148	0.02104031563
149	0.02075708389
150	0.02063885689
151	0.02053828875
152	0.02048458576
153	0.02035270373
154	0.01998791218
155	0.01982578913
156	0.01966448148
157	0.01944602013
158	0.01937250614
159	0.01928202311
160	0.01906646093
161	0.01897866885
162	0.01875078201
163	0.01858096441
164	0.01838929971
165	0.0182452329
166	0.01818982442
167	0.01812414487
168	0.01805310885
169	0.01797535578
170	0.01780558904
171	0.01775927226
172	0.01762117863
173	0.01753588041
174	0.01721423944
175	0.01715810458
176	0.01703644276
177	0.01686574141
178	0.01684030533
179	0.01680127144
180	0.01668533484
181	0.01648131847
182	0.01642301559
183	0.01624394099
184	0.01616346995
185	0.0159426403
186	0.0158744812
187	0.01578966618
188	0.01571268082
189	0.01560636361
190	0.01553742091
191	0.01537075361
192	0.01532997608
193	0.01527576447
194	0.01521144708
195	0.01508684794
196	0.0149836127
197	0.01489247322
198	0.01467538675
199	0.01464060148
