iter	Logloss
0	0.4413408407
1	0.3221075948
2	0.2493492126
3	0.2006469981
4	0.172606074
5	0.1536467489
6	0.1423003133
7	0.1319921621
8	0.1216613388
9	0.1182573446
10	0.1140022532
11	0.1104507955
12	0.1081018066
13	0.1041804632
14	0.1003708458
15	0.09680515289
16	0.09485520681
17	0.09158295949
18	0.08727963765
19	0.08514063517
20	0.08322612762
21	0.08044710795
22	0.07928314209
23	0.07790781021
24	0.0768981425
25	0.07619195302
26	0.07488485972
27	0.07342728297
28	0.07088430405
29	0.06963729858
30	0.06760368347
31	0.06639881134
32	0.06538838704
33	0.06338247299
34	0.06281299591
35	0.0620595487
36	0.06098443349
37	0.05960969289
38	0.05836250305
39	0.056051356
40	0.05539832433
41	0.05463933945
42	0.0538432312
43	0.05299287796
44	0.05202208201
45	0.05158540408
46	0.05076189359
47	0.04983316104
48	0.0494611009
49	0.04873492241
50	0.04777664185
51	0.04711631775
52	0.04634809494
53	0.04588352839
54	0.04502655029
55	0.04403057734
56	0.04361549695
57	0.04334599813
58	0.04263973236
59	0.04192747116
60	0.04102740288
61	0.03992698669
62	0.039313399
63	0.03875933965
64	0.0385996755
65	0.03780867894
66	0.03741451263
67	0.03715697924
68	0.03668352763
69	0.03610127767
70	0.03576527278
71	0.03565768242
72	0.03513027509
73	0.03418783188
74	0.03353501638
75	0.03282642682
76	0.03269353867
77	0.03250121117
78	0.03177707354
79	0.03135765711
80	0.03085805575
81	0.03049583753
82	0.02991898537
83	0.02931079547
84	0.02881758372
85	0.02838879267
86	0.02782139778
87	0.02770484289
88	0.02725696564
89	0.02693229993
90	0.02666721344
91	0.02628692468
92	0.02612840335
93	0.02582269669
94	0.02565470537
95	0.02528108597
96	0.02518771172
97	0.02511414687
98	0.02494057655
99	0.02456191063
100	0.0244986105
101	0.02410185496
102	0.02380343914
103	0.023162117
104	0.02291554133
105	0.02257005056
106	0.02224387805
107	0.02187360446
108	0.0216795063
109	0.02158066432
110	0.02142754237
111	0.02124296506
112	0.02081948439
113	0.02052228769
114	0.02018714428
115	0.02014885743
116	0.01977931499
117	0.01958842913
118	0.01944696109
119	0.01922909896
120	0.01897321065
121	0.01867448489
122	0.01843591054
123	0.01822374026
124	0.01783714771
125	0.01767351151
126	0.0174728171
127	0.01726140181
128	0.01713829676
129	0.01701960564
130	0.0169130071
131	0.01675188541
132	0.01665106932
133	0.01649693489
134	0.01647835096
135	0.0161568896
136	0.01612117767
137	0.01594237328
138	0.01583150864
139	0.01568990072
140	0.01555069764
141	0.01547019958
142	0.01526831945
143	0.01511671066
144	0.01497949759
145	0.01487399419
146	0.01475125949
147	0.0146549209
148	0.01445912997
149	0.01427807808
150	0.01400466919
151	0.01388204257
152	0.01379588127
153	0.01368952274
154	0.0136078771
155	0.01350317319
156	0.01340579987
157	0.01332616091
158	0.01320474466
159	0.01318733056
160	0.01301908652
161	0.01275258541
162	0.01272339026
163	0.01266479572
164	0.01248792887
165	0.01229636192
166	0.01226347844
167	0.01214451154
168	0.01195083777
169	0.01186989148
170	0.0117895476
171	0.01173269192
172	0.01171178102
173	0.01162114382
174	0.01159827391
175	0.01154163917
176	0.01152513186
177	0.01139047623
178	0.0112717255
179	0.01119785945
180	0.01115269343
181	0.0110817639
182	0.01100341638
183	0.01087052504
184	0.01082356771
185	0.01069306771
186	0.01049150785
187	0.01046096325
188	0.01044983069
189	0.01033906142
190	0.01022832235
191	0.01009706656
192	0.01006762822
193	0.009975749652
194	0.009825795492
195	0.009726366997
196	0.009576875369
197	0.009451020559
198	0.009385779699
199	0.009338630835
